No_Vuelo,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
1453,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1454,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1455,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1456,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1457,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1458,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1459,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1460,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1461,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1462,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1463,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1464,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1465,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1466,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1467,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1468,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1469,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1470,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1471,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1472,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1473,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1474,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1475,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1476,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1477,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1478,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1479,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1480,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1481,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1482,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1483,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1484,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1485,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1486,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1487,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1488,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1489,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1490,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1491,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1492,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1493,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1494,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1495,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1496,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1497,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1498,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1499,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1500,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1501,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1502,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1503,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1504,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1505,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1506,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1507,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1508,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1509,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1510,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1511,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1512,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1513,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1514,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1515,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1516,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1517,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1518,MEX,CDG,19.4363,-99.0721,49.0128,2.55
1519,MEX,CDG,19.4363,-99.0721,49.0128,2.55
